City,1st Trimester,2nd Trimester,3rd Trimester,None,Unknown,(blank),Grand Total,Percent Starting 3rd Trimester,No Care as %,3rd and none %
CANBY,0,3,2,0,0,,5,40,0,40
ELK CREEK,7,8,4,2,0,,21,19.04761905,9.523809524,28.57142857
MANCHESTER,15,5,7,0,0,,27,25.92592593,0,25.92592593
ORICK,7,6,4,0,1,,18,22.22222222,0,22.22222222
SAN LUCAS,20,8,8,0,1,,37,21.62162162,0,21.62162162
NILAND,53,39,14,11,3,,120,11.66666667,9.166666667,20.83333333
LEE VINING,17,10,7,0,0,,34,20.58823529,0,20.58823529
POTRERO,74,27,17,9,0,,127,13.38582677,7.086614173,20.47244094
SOMES BAR,3,5,2,0,0,,10,20,0,20
BUTTE CITY,7,0,2,0,1,,10,20,0,20
MIRAMONTE,4,0,1,0,0,,5,20,0,20
ONYX,2,1,1,0,1,,5,20,0,20
ANNAPOLIS,4,0,1,0,0,,5,20,0,20
SOUTH DOS PALOS,19,22,10,0,0,,51,19.60784314,0,19.60784314
WHITMORE,11,5,4,0,1,,21,19.04761905,0,19.04761905
CALEXICO,2151,1289,494,320,147,,4401,11.22472165,7.271074756,18.49579641
LAYTONVILLE,72,35,24,1,5,,137,17.51824818,0.729927007,18.24817518
PATTON,7,3,2,0,0,,12,16.66666667,0,16.66666667
JUNCTION CITY,6,3,2,0,1,,12,16.66666667,0,16.66666667
TALMAGE,4,1,1,0,0,,6,16.66666667,0,16.66666667
MONTGOMERY CREEK,4,1,1,0,0,,6,16.66666667,0,16.66666667
AVERY,4,1,1,0,0,,6,16.66666667,0,16.66666667
RAIL ROAD FLAT,13,2,2,1,1,,19,10.52631579,5.263157895,15.78947368
HAT CREEK,9,5,2,1,2,,19,10.52631579,5.263157895,15.78947368
DULZURA,52,14,10,2,0,,78,12.82051282,2.564102564,15.38461538
ORO GRANDE,53,20,10,3,0,,86,11.62790698,3.488372093,15.11627907
CLEARLAKE PARK,12,5,2,1,0,,20,10,5,15
SALYER,16,6,4,0,1,,27,14.81481481,0,14.81481481
BORON,89,42,16,7,2,,156,10.25641026,4.487179487,14.74358974
TECATE,36,6,6,1,0,,49,12.24489796,2.040816327,14.28571429
WEOTT,5,1,1,0,0,,7,14.28571429,0,14.28571429
LITTLE RIVER,3,3,1,0,0,,7,14.28571429,0,14.28571429
SEELEY,82,45,12,9,1,,149,8.053691275,6.040268456,14.09395973
HEBER,455,221,87,27,26,,816,10.66176471,3.308823529,13.97058824
ALTAVILLE,13,6,3,0,0,,22,13.63636364,0,13.63636364
TRONA,70,53,17,3,4,,147,11.56462585,2.040816327,13.60544218
NICE,88,38,19,1,1,,147,12.92517007,0.680272109,13.60544218
WESTMORLAND,115,74,21,9,6,,225,9.333333333,4,13.33333333
HOOPA,180,110,30,15,7,,342,8.771929825,4.385964912,13.15789474
DOBBINS,12,8,3,0,0,,23,13.04347826,0,13.04347826
EL CENTRO,2482,1224,375,198,146,,4425,8.474576271,4.474576271,12.94915254
WESTLEY,56,16,10,1,2,,85,11.76470588,1.176470588,12.94117647
MOJAVE,247,141,38,20,5,,451,8.425720621,4.4345898,12.86031042
BRIDGEPORT,5,2,1,0,0,,8,12.5,0,12.5
HURON,512,199,98,4,6,,819,11.96581197,0.488400488,12.45421245
AVENAL,762,202,122,15,17,,1118,10.91234347,1.341681574,12.25402504
HOLTVILLE,369,189,53,27,18,,656,8.079268293,4.115853659,12.19512195
YERMO,57,22,11,0,1,,91,12.08791209,0,12.08791209
TRAVER,41,7,6,1,4,,59,10.16949153,1.694915254,11.86440678
OAK RUN,19,7,3,1,4,,34,8.823529412,2.941176471,11.76470588
FRENCH GULCH,9,6,2,0,0,,17,11.76470588,0,11.76470588
HAYFORK,88,38,16,1,2,,145,11.03448276,0.689655172,11.72413793
LEWISTON,23,20,5,1,3,,52,9.615384615,1.923076923,11.53846154
ROBBINS,18,5,3,0,0,,26,11.53846154,0,11.53846154
CABAZON,146,62,19,8,1,,236,8.050847458,3.389830508,11.44067797
MADISON,40,14,7,0,1,,62,11.29032258,0,11.29032258
COVELO,76,89,18,4,8,,195,9.230769231,2.051282051,11.28205128
LLANO,17,16,3,1,0,,37,8.108108108,2.702702703,10.81081081
CALIFORNIA CITY,560,236,64,32,16,,908,7.04845815,3.524229075,10.57268722
MARKLEEVILLE,11,5,1,1,1,,19,5.263157895,5.263157895,10.52631579
INYOKERN,53,31,10,0,2,,96,10.41666667,0,10.41666667
MIDPINES,27,12,5,0,4,,48,10.41666667,0,10.41666667
LUCERNE,124,41,18,1,0,,184,9.782608696,0.543478261,10.32608696
MOUNTAIN CENTER,34,9,5,0,1,,49,10.20408163,0,10.20408163
CALIENTE,30,5,2,2,1,,40,5,5,10
RIO NIDO,6,2,1,0,1,,10,10,0,10
BRAWLEY,1497,828,178,87,72,,2662,6.686701728,3.268219384,9.954921112
MARICOPA,65,14,7,3,12,,101,6.930693069,2.97029703,9.900990099
PALERMO,76,30,11,1,4,,122,9.016393443,0.819672131,9.836065574
JACUMBA,28,17,3,2,1,,51,5.882352941,3.921568627,9.803921569
LAKEHEAD,19,17,4,0,1,,41,9.756097561,0,9.756097561
CAMPO,194,47,22,4,0,,267,8.239700375,1.498127341,9.737827715
BORREGO SPRINGS,99,32,13,1,1,,146,8.904109589,0.684931507,9.589041096
EL NIDO,42,21,7,0,3,,73,9.589041096,0,9.589041096
LANDERS,75,18,9,1,3,,106,8.490566038,0.943396226,9.433962264
LAKEPORT,389,158,49,7,2,,605,8.099173554,1.157024793,9.256198347
WILLOW CREEK,79,27,7,4,2,,119,5.882352941,3.361344538,9.243697479
CASTROVILLE,664,321,100,3,27,,1115,8.968609865,0.269058296,9.237668161
NEWBERRY SPRINGS,98,18,1,11,2,,130,0.769230769,8.461538462,9.230769231
DOS PALOS,417,267,67,3,8,,762,8.792650919,0.393700787,9.186351706
MECCA,1169,272,135,11,8,,1595,8.463949843,0.689655172,9.153605016
ORLEANS,36,14,4,1,0,,55,7.272727273,1.818181818,9.090909091
RUTHERFORD,8,2,1,0,0,,11,9.090909091,0,9.090909091
MYERS FLAT,7,3,1,0,0,,11,9.090909091,0,9.090909091
MEADOW VALLEY,6,4,1,0,0,,11,9.090909091,0,9.090909091
CHALLENGE,4,6,1,0,0,,11,9.090909091,0,9.090909091
POINT ARENA,28,23,5,0,0,,56,8.928571429,0,8.928571429
REDWAY,57,23,7,1,2,,90,7.777777778,1.111111111,8.888888889
BROWNSVILLE,27,24,3,2,1,,57,5.263157895,3.50877193,8.771929825
LEMON COVE,18,3,0,2,0,,23,0,8.695652174,8.695652174
PALO CEDRO,87,27,9,2,2,,127,7.086614173,1.57480315,8.661417323
THERMAL,1490,378,160,15,24,,2067,7.740686986,0.725689405,8.466376391
IMPERIAL,924,350,87,33,40,,1434,6.066945607,2.30125523,8.368200837
GARDEN VALLEY,81,38,10,1,2,,132,7.575757576,0.757575758,8.333333333
DOYLE,33,10,4,0,1,,48,8.333333333,0,8.333333333
LOCKWOOD,17,4,2,0,1,,24,8.333333333,0,8.333333333
DUCOR,55,21,6,1,2,,85,7.058823529,1.176470588,8.235294118
HERALD,57,15,7,0,6,,85,8.235294118,0,8.235294118
GUSTINE,391,189,48,3,5,,636,7.547169811,0.471698113,8.018867925
CATHEYS VALLEY,35,11,4,0,0,,50,8,0,8
EL CAJON,9208,1946,820,148,14,,12136,6.756756757,1.219512195,7.976268952
CUTLER,450,132,45,7,18,,652,6.901840491,1.073619632,7.975460123
CALIPATRIA,181,104,22,3,4,,314,7.006369427,0.955414013,7.961783439
ALPAUGH,121,17,9,3,1,,151,5.960264901,1.986754967,7.947019868
FARMINGTON,24,11,1,2,0,,38,2.631578947,5.263157895,7.894736842
SMITH RIVER,81,36,8,2,0,,127,6.299212598,1.57480315,7.874015748
LEMON GROVE,1469,328,122,32,6,,1957,6.234031681,1.635155851,7.869187532
WINTON,750,336,92,4,39,,1221,7.534807535,0.327600328,7.862407862
TAFT,951,352,97,24,119,,1543,6.286454958,1.555411536,7.841866494
MERCED,4949,2692,641,35,414,,8731,7.341656168,0.400870462,7.742526629
HOMEWOOD,8,4,0,1,0,,13,0,7.692307692,7.692307692
HINKLEY,63,31,8,0,2,,104,7.692307692,0,7.692307692
OCCIDENTAL,19,5,2,0,0,,26,7.692307692,0,7.692307692
ADIN,21,3,2,0,0,,26,7.692307692,0,7.692307692
SHINGLETOWN,89,38,8,3,6,,144,5.555555556,2.083333333,7.638888889
LAMONT,1498,460,132,35,86,,2211,5.970149254,1.58299412,7.553143374
SALTON CITY,122,23,10,2,2,,159,6.289308176,1.257861635,7.547169811
KLAMATH,44,29,4,2,1,,80,5,2.5,7.5
BANNING,1431,449,135,18,10,,2043,6.607929515,0.881057269,7.488986784
WOFFORD HEIGHTS,61,12,2,4,2,,81,2.469135802,4.938271605,7.407407407
GLENN,38,12,4,0,0,,54,7.407407407,0,7.407407407
CEDAR GLEN,39,10,4,0,1,,54,7.407407407,0,7.407407407
CEDARVILLE,14,8,2,0,3,,27,7.407407407,0,7.407407407
FRENCH CAMP,175,83,18,3,5,,284,6.338028169,1.056338028,7.394366197
SANTA YSABEL,40,11,4,0,0,,55,7.272727273,0,7.272727273
BELLA VISTA,36,15,4,0,0,,55,7.272727273,0,7.272727273
BOULEVARD,47,17,3,2,0,,69,4.347826087,2.898550725,7.246376812
LOS BANOS,1913,1047,213,19,15,,3207,6.641721235,0.592454007,7.234175242
